"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YTHDC1",1728.11909193127,-0.334298138880955,0.122031147318497,-2.73944928181695,0.00615422093529328,0.0647671901176518
"SCAMP1",771.988878765153,-0.59174963594252,0.18827959915739,-3.14293018782059,0.00167265727881268,0.0275490178327014
"OVGP1",47.4657745166016,-1.04868794335401,0.355689837130627,-2.94832135720786,0.00319504742036431,0.0422315194854756
"DDHD2",1101.29353252274,-0.446349724485738,0.145948550301819,-3.05826761254356,0.00222620670959315,0.033385841274192
"ATG16L1",984.050636605738,0.67697376068748,0.222052797385716,3.048706292637,0.00229829056721677,0.0341281066299712
"RAD54L",513.145894825508,0.446018180316379,0.142200825299879,3.1365372133094,0.00170955739907473,0.0278474184593083
"EIF2AK1",2736.23645603017,-0.496682652175624,0.130363342598821,-3.80998708896342,0.000138974049155221,0.00495458645011519
"SNX10",286.924885554794,-0.85630097483043,0.329049729904434,-2.60234516855287,0.00925886123674437,0.0832211781650567
"ZFAND6",1245.98104276988,-0.34652551357549,0.10384300170337,-3.33701364455303,0.000846837906832699,0.0173549003957759
"TXLNG",739.690996891507,0.420656038665182,0.159815649961916,2.63213295297065,0.00848506511777767,0.0789668607446934
"OGFOD1",1190.59411410714,0.558160609254911,0.213569208408352,2.61348821496631,0.00896231745565721,0.081457901143414
"NOP14",1884.79514499185,0.436580990122031,0.111940274133271,3.90012436098073,9.61432900370083e-05,0.00375775912929349
"GMCL1",600.339910488796,-0.593210462756128,0.217146099775094,-2.73184949382254,0.00629799040249975,0.0656790427689259
"KLHL42",575.445348438533,0.378744980674031,0.135861161660006,2.78773547970864,0.00530778635463168,0.0588677880505252
"PTHLH",40.6366788102767,1.29724533986886,0.382459837759843,3.39184722627906,0.000694231372657071,0.0150135991411167
"DOCK9",2423.06269212503,-0.46743828511148,0.142184344071724,-3.28755101810424,0.0010106287542448,0.0195837709583082
"TMEM40",1067.24617980721,0.973681863404412,0.258264455297849,3.77009628476165,0.000163184578407914,0.00562864407073497
"ARHGAP28",345.122188995311,-1.25271276344213,0.293395162673663,-4.26971171585229,1.95725783261559e-05,0.00116572404717449
"FKBP1A",5183.57220922435,0.347337936677908,0.137632912904078,2.52365462118775,0.0116141972524413,0.0955522239069364
"NSFL1C",2657.77616364017,0.28655333309719,0.114244003806916,2.50825709488871,0.0121328354391332,0.0980074534857846
"TMEM230",1515.52486501867,-0.408661757534403,0.132618904692116,-3.08147438318194,0.0020597819936042,0.031702516481239
"PEBP1",3334.2078168724,-0.733766501818005,0.220880089773048,-3.32201287391698,0.000893705702966679,0.0180006680055931
"YPEL3",415.711511060101,-1.15204597636379,0.29538623110857,-3.9001343158082,9.61393368697136e-05,0.00375775912929349
"MUL1",1164.18809535038,0.354420266964328,0.121207037986578,2.92408982887261,0.0034546503675714,0.044379712403522
"PDCD7",489.604507577496,0.465114410629442,0.185676071960363,2.50497765123301,0.0122459130898457,0.0984054439676284
"SPG21",1177.06225869932,-0.468803009950434,0.180460486166414,-2.5978152885952,0.00938189461588216,0.0838354922379055
